Type,Function,Digit,Time(ns)
randomdigit,double-conversion,1,36.838670
randomdigit,double-conversion,2,41.459661
randomdigit,double-conversion,3,44.248962
randomdigit,double-conversion,4,45.974560
randomdigit,double-conversion,5,47.807856
randomdigit,double-conversion,6,49.337428
randomdigit,double-conversion,7,50.595530
randomdigit,double-conversion,8,51.019256
randomdigit,double-conversion,9,51.230334
randomdigit,double-conversion,10,51.728214
randomdigit,double-conversion,11,52.606260
randomdigit,double-conversion,12,53.738664
randomdigit,double-conversion,13,54.678073
randomdigit,double-conversion,14,55.769232
randomdigit,double-conversion,15,57.327865
randomdigit,double-conversion,16,59.565760
randomdigit,double-conversion,17,65.727769
randomdigit,dragonbox,1,15.130761
randomdigit,dragonbox,2,16.150432
randomdigit,dragonbox,3,15.774820
randomdigit,dragonbox,4,16.345639
randomdigit,dragonbox,5,15.890087
randomdigit,dragonbox,6,16.473078
randomdigit,dragonbox,7,15.918793
randomdigit,dragonbox,8,16.527479
randomdigit,dragonbox,9,16.236461
randomdigit,dragonbox,10,16.700488
randomdigit,dragonbox,11,16.281117
randomdigit,dragonbox,12,16.882373
randomdigit,dragonbox,13,16.381751
randomdigit,dragonbox,14,17.038517
randomdigit,dragonbox,15,16.501412
randomdigit,dragonbox,16,17.153112
randomdigit,dragonbox,17,19.343500
randomdigit,fmt,1,14.540535
randomdigit,fmt,2,17.319701
randomdigit,fmt,3,15.721282
randomdigit,fmt,4,16.764043
randomdigit,fmt,5,15.818466
randomdigit,fmt,6,16.928878
randomdigit,fmt,7,15.702442
randomdigit,fmt,8,17.019354
randomdigit,fmt,9,17.821756
randomdigit,fmt,10,19.219808
randomdigit,fmt,11,17.791719
randomdigit,fmt,12,18.992853
randomdigit,fmt,13,17.463446
randomdigit,fmt,14,18.680383
randomdigit,fmt,15,17.294452
randomdigit,fmt,16,18.530096
randomdigit,fmt,17,21.714649
randomdigit,null,1,0.945381
randomdigit,null,2,0.945389
randomdigit,null,3,0.946462
randomdigit,null,4,0.945407
randomdigit,null,5,0.946422
randomdigit,null,6,0.945391
randomdigit,null,7,0.946472
randomdigit,null,8,0.945389
randomdigit,null,9,0.946452
randomdigit,null,10,0.945388
randomdigit,null,11,0.946440
randomdigit,null,12,0.945376
randomdigit,null,13,0.946441
randomdigit,null,14,0.946442
randomdigit,null,15,0.945395
randomdigit,null,16,0.946441
randomdigit,null,17,0.945397
randomdigit,ostringstream,1,396.733691
randomdigit,ostringstream,2,401.747180
randomdigit,ostringstream,3,406.294179
randomdigit,ostringstream,4,407.921683
randomdigit,ostringstream,5,411.294942
randomdigit,ostringstream,6,416.454839
randomdigit,ostringstream,7,419.727841
randomdigit,ostringstream,8,422.117389
randomdigit,ostringstream,9,429.000894
randomdigit,ostringstream,10,437.942228
randomdigit,ostringstream,11,443.330572
randomdigit,ostringstream,12,444.085939
randomdigit,ostringstream,13,445.107829
randomdigit,ostringstream,14,446.927869
randomdigit,ostringstream,15,456.115506
randomdigit,ostringstream,16,452.593966
randomdigit,ostringstream,17,447.918188
randomdigit,ryu,1,36.074694
randomdigit,ryu,2,36.399822
randomdigit,ryu,3,35.377934
randomdigit,ryu,4,34.346778
randomdigit,ryu,5,33.435766
randomdigit,ryu,6,32.450281
randomdigit,ryu,7,31.496021
randomdigit,ryu,8,30.851462
